@relation 'Dados Tubarão - Morfometria'

@attribute Espécie {G. cuvier,C.leucas,R. porosus,C. limbatus,C. acronotus,Sphyrna Itamaracá,S. lewini,S. mokarran}
@attribute mandíbula {S,I}
@attribute lado {D,E}
@attribute medida {L,AL,PaP}
@attribute D1 numeric
@attribute D2 numeric
@attribute D3 numeric
@attribute D4 numeric
@attribute D5 numeric
@attribute D6 numeric
@attribute D7 numeric
@attribute D8 numeric
@attribute D9 numeric
@attribute D10 numeric

@data
G. cuvier,S,E,PaP,0.8,0.8,0.8,0.8,1,0.85,0.8,0.69,0.59,0.69
G. cuvier,S,E,AL,0.61,0.39,0.59,0.345,0.65,0.45,0.39,0.3,0.22,0.17
G. cuvier,I,E,L,0.74,0.84,0.79,0.85,0.91,0.89,0.82,0.73,0.83,0.47
G. cuvier,I,E,PaP,0.92,0.79,0.97,0.96,0.97,0.75,0.72,0.92,0.92,0.45
G. cuvier,I,E,AL,0.49,0.59,0.53,0.59,0.51,0.54,0.44,0.42,0.52,0.23
S. lewini,S,E,L,0.65,1.06,0.82,0.95,1.11,1.06,1.17,1.05,1.16,1.06
S. lewini,S,E,PaP,0.8975,0.885,0.59,0.78,1.05,0.86,0.95,0.91,0.92,0.81
S. lewini,S,E,AL,0.56,0.675,0.62,0.74,0.68,0.67,0.69,0.69,0.56,0.56
S. lewini,I,E,L,0.98,0.95,1.02,0.96,0.97,0.99,0.92,0.9,0.87,0.89
S. lewini,I,E,PaP,0.87,1.14,1.13,0.87,0.92,0.84,0.86,0.93,0.86,0.76
S. lewini,I,E,AL,0.8,0.89,0.84,0.82,0.8,0.84,0.79,0.74,0.69,0.66
G. cuvier,S,E,L,0.81,1.06,0.99,0.96,1.08,1.09,0.87,0.68,0.55,0.54
G. cuvier,S,E,PaP,0.9,1.01,0.99,0.93,1.14,1,0.84,0.78,0.59,0.93
G. cuvier,S,E,AL,0.71,0.71,0.68,0.62,0.64,0.55,0.39,0.29,0.21,0.15
G. cuvier,I,E,L,0.69,0.93,0.87,1.01,0.99,1.01,0.96,0.975,0.9825,0.98625
G. cuvier,I,E,PaP,0.84,1.06,0.99,0.98,1.04,0.99,0.99,0.99,0.99,0.99
G. cuvier,I,E,AL,0.48,0.54,0.59,0.51,0.5,0.46,0.505,0.5075,0.50625,0.505625
G. cuvier,S,E,L,0.59,0.67,0.72,0.63,0.73,0.61,0.6,0.46,0.42,0.26
G. cuvier,S,E,PaP,0.63,0.66,0.59,0.74,0.69,0.62,0.55,0.41,0.4,0.25
G. cuvier,S,E,AL,0.37,0.46,0.47,0.45,0.4,0.37,0.26,0.25,0.22,0.16
G. cuvier,I,E,L,0.5,0.55,0.59,0.67,0.5075,0.495,0.59,0.52,0.47,0.38
G. cuvier,I,E,PaP,0.52,0.61,0.83,0.5175,0.505,0.48,0.54,0.53,0.43,0.38
G. cuvier,I,E,AL,0.33,0.39,0.34,0.39,0.24,0.23,0.38,0.25,0.21,0.16
G. cuvier,S,E,L,0.89,1.12,1.12,1.03,1.17,1.01,0.91,0.81,0.61,0.55
G. cuvier,S,E,PaP,0.95,0.95,0.95,1.03,0.65,0.65,0.65,0.67,0.53,0.65
G. cuvier,S,E,AL,0.62,0.705,0.73,0.74,0.68,0.35,0.47,0.41,0.29,0.2
G. cuvier,I,E,L,0.75,0.89,1.03,1.07,1.02,0.99,0.91,0.84,0.91,0.49
G. cuvier,I,E,PaP,0.92,1.04,1.06,1.01,0.99,0.88,0.89,0.955,0.955,0.41
G. cuvier,I,E,AL,0.54,0.55,0.57,0.59,0.56,0.51,0.46,0.42,0.54,0.22
C. acronotus,I,E,L,0.3,0.7,0.7,0.8,0.8,0.7,0.7,0.6,0.6,0.5
C. acronotus,I,E,AL,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.2
C. acronotus,I,E,PaP,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.5
S. mokarran,I,E,PaP,1.1,1.9,1.85,1.6,1.8,1.5,1.5,1.3,1.7,1
S. mokarran,I,E,AL,0.5,0.4,1.2,1.2,1,1.2,0.8,1.1,1,0.8
S. mokarran,I,E,L,0.7,1,1.15,1.45,1.2,1.4,1.2,1.4,1.2,1.2
C. acronotus,I,E,PaP,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
C. acronotus,I,E,AL,0.2,0.2,0.1,0.05,0.15,0.125,0.1125,0.11875,0.121875,0.120313
C. acronotus,I,E,L,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4
C. acronotus,I,E,PaP,0.35,0.35,0.35,0.4,0.3,0.3,0.3,0.3,0.325,0.325
C. acronotus,I,E,AL,0.2,0.3,0.3,0.15,0.2,0.2,0.2,0.2,0.1,0.2
C. acronotus,I,E,L,0.2,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.2,0.3
R. porosus,I,E,PaP,0.5,0.4,0.45,0.45,0.4,0.4,0.4,0.35,0.3,0.2
R. porosus,I,E,AL,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.1,0.1
R. porosus,I,E,L,0.4,0.45,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.4
C. acronotus,S,E,L,0.3,0.4,0.6,0.7,0.1,0.9,0.1,0.8,0.9,0.9
C. acronotus,S,E,AL,0.3,0.7,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.6
C. acronotus,S,E,PaP,0.4,0.5,0.6,0.3,0.6,0.7,0.7,0.7,0.6,0.7
C. limbatus,S,E,L,0.6,0.7,0.11,0.4,0.6,0.11,0.1,0.9,0.1,0.9
C. limbatus,S,E,AL,0.5,0.9,0.9,0.5,0.7,0.8,0.8,0.8,0.8,0.8
C. limbatus,S,E,PaP,0.6,0.8,0.7,0.1,0.75,0.12,0.9,0.8,0.9,0.75
C. limbatus,S,E,L,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.4,0.4
C. limbatus,S,E,AL,0.1,0.4,0.4,0.5,0.6,0.5,0.5,0.5,0.4,0.4
C. limbatus,S,E,PaP,0.2,0.2,0.4,0.2,0.5,0.5,0.4,0.4,0.4,0.4
C. acronotus,S,E,L,0.4,0.4,0.7,0.8,0.9,0.8,0.9,0.8,0.8,0.8
C. acronotus,S,E,AL,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.6,0.4
C. acronotus,S,E,PaP,0.5,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.7,0.7
C. acronotus,S,E,L,0.3,0.4,0.5,0.5,0.8,0.7,0.5,0.5,0.5,0.6
C. acronotus,S,E,AL,0.3,0.5,0.5,0.6,0.7,0.7,0.55,0.575,0.5875,0.5
C. acronotus,S,E,PaP,0.3,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.4
C. acronotus,S,E,L,0.5,0.6,0.8,0.8,0.1,0.1,0.9,0.1,0.8,0.8
C. acronotus,S,E,AL,0.7,0.7,0.7,0.9,0.9,0.8,0.9,0.8,0.7,0.6
C. acronotus,S,E,PaP,0.7,0.6,0.4,0.7,0.6,0.6,0.7,0.6,0.6,0.5
C. acronotus,S,E,L,0.3,0.5,0.5,0.7,0.7,0.6,0.8,0.7,0.8,0.6
C. acronotus,S,E,AL,0.5,0.5,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.4
C. acronotus,S,E,PaP,0.4,0.5,0.4,0.4,0.6,0.6,0.5,0.5,0.5,0.4
R. porosus,S,E,L,0.3,0.2,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.3
R. porosus,S,E,AL,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
R. porosus,S,E,PaP,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3
R. porosus,S,E,L,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
R. porosus,S,E,AL,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4
R. porosus,S,E,PaP,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.3
C. limbatus,S,E,L,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4
C. limbatus,S,E,AL,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3
C. limbatus,S,E,PaP,0.4,0.4,0.2,0.4,0.5,0.4,0.5,0.5,0.4,0.4
C. acronotus,S,E,L,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
C. acronotus,S,E,AL,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.2
C. acronotus,S,E,PaP,0.4,0.2,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4
C. limbatus,S,E,L,0.8,0.9,0.1,0.1,0.11,0.12,0.12,0.12,0.12,0.12
C. limbatus,S,E,AL,0.6,0.7,0.1,0.11,0.9,0.1,0.1,0.1,0.11,0.9
C. limbatus,S,E,PaP,0.8,0.7,0.11,0.7,0.8,0.1,0.1,0.1,0.7,0.9
C. acronotus,S,E,L,0.4,0.5,0.7,0.9,0.9,0.9,0.1,0.9,0.8,0.6
C. acronotus,S,E,AL,0.5,0.6,0.8,0.8,0.8,0.6,0.7,0.5,0.5,0.4
C. acronotus,S,E,PaP,0.5,0.5,0.6,0.8,0.7,0.65,0.65,0.8,0.7,0.4
S. mokarran,S,E,PaP,1.3,1,1.3,1.3,1.4,1.3,1.2,1.15,1.1,1.4
S. mokarran,S,E,AL,0.95,0.85,0.75,1,0.9,0.95,0.95,1,0.95,0.85
S. mokarran,S,E,L,1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.35,1.3
C. acronotus,S,E,PaP,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.35
C. acronotus,S,E,AL,0.2,0.25,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1
C. acronotus,S,E,L,0.2,0.25,0.3,0.5,0.4,0.4,0.6,0.3,0.4,0.35
C. acronotus,S,E,PaP,0.3,0.3,0.4,0.45,0.35,0.4,0.4,0.3,0.25,0.3
C. acronotus,S,E,AL,0.25,0.3,0.25,0.4,0.4,0.3,0.3,0.3,0.15,0.1
C. acronotus,S,E,L,0.25,0.2,0.4,0.4,0.5,0.4,0.5,0.3,0.4,0.3
R. porosus,S,E,PaP,0.3,0.2,0.4,0.4,0.6,0.45,0.4,0.45,0.4,0.35
R. porosus,S,E,AL,0.2,0.2,0.25,0.3,0.35,0.3,0.3,0.3,0.2,0.2
R. porosus,S,E,L,0.3,0.3,0.4,0.45,0.4,0.6,0.4,0.5,0.4,0.4
