@relation 'Dados Tubarão - Morfometria'

@attribute Espécie {G. cuvier,C.leucas,R. porosus,C. limbatus,C. acronotus,Sphyrna Itamaracá,S. lewini,S. mokarran}
@attribute mandíbula {S,I}
@attribute lado {D,E}
@attribute medida {L,AL,PaP}
@attribute D1 numeric
@attribute D2 numeric
@attribute D3 numeric
@attribute D4 numeric
@attribute D5 numeric
@attribute D6 numeric
@attribute D7 numeric
@attribute D8 numeric
@attribute D9 numeric
@attribute D10 numeric

@data
C. acronotus,S,D,PaP,0.22,0.14,0.29,0.31,0.32,0.33,0.24,0.27,0.22,0.19
C. acronotus,S,D,AL,0.31,0.3,0.29,0.37,0.39,0.33,0.33,0.28,0.24,0.2
C. acronotus,I,D,L,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,D,PaP,0,0,0,0,0,0,0,0,0,0
C. acronotus,I,D,AL,0,0,0,0,0,0,0,0,0,0
R. porosus,S,D,L,0.41,0.38,0.61,0.61,0.36,0.68,0.41,0.61,0.46,0.34
R. porosus,S,D,PaP,0.43,0.47,0.48,0.44,0.47,0.51,0.43,0.42,0.41,0.31
R. porosus,S,D,AL,0.47,0.48,0.45,0.47,0.41,0.45,0.37,0.36,0.31,0.26
R. porosus,I,D,L,0.33,0.45,0.44,0.62,0.62,0.66,0.5,0.51,0.42,0.41
R. porosus,I,D,PaP,0.43,0.51,0.43,0.48,0.52,0.44,0.51,0.42,0.41,0.31
R. porosus,I,D,AL,0.48,0.47,0.41,0.49,0.42,0.36,0.41,0.33,0.3,0.27
R. porosus,S,D,L,0.28,0.22,0.38,0.38,0.46,0.42,0.38,0.4,0.33,0.34
R. porosus,S,D,PaP,0.22,0.27,0.33,0.38,0.42,0.33,0.38,0.34,0.26,0.3
R. porosus,S,D,AL,0.27,0.28,0.33,0.33,0.32,0.31,0.34,0.3,0.17,0.12
R. porosus,I,D,L,0.2,0.26,0.31,0.22,0.18,0.37,0.29,0.23,0.21,0.23
R. porosus,I,D,PaP,0.31,0.33,0.34,0.37,0.31,0.36,0.37,0.23,0.36,0.36
R. porosus,I,D,AL,0.25,0.23,0.15,0.24,0.34,0.22,0.16,0.14,0.1,0.14
R. porosus,S,D,L,0.25,0.24,0.4,0.51,0.43,0.53,0.44,0.36,0.51,0.36
R. porosus,S,D,PaP,0.37,0.44,0.77,0.36,0.34,0.41,0.43,0.34,0.3,0.37
R. porosus,S,D,AL,0.27,0.34,0.4,0.34,0.3,0.35,0.31,0.27,0.22,0.11
R. porosus,I,D,L,0.27,0.36,0.33,0.44,0.5,0.44,0.42,0.46,0.3,0.31
R. porosus,I,D,PaP,0.44,0.5,0.33,0.46,0.44,0.43,0.4,0.41,0.36,0.3
R. porosus,I,D,AL,0.25,0.34,0.5,0.22,0.26,0.33,0.26,0.27,0.24,0.13
R. porosus,S,D,L,0.21,0.16,0.27,0.3,0.41,0.41,0.34,0.41,0.48,0.25
R. porosus,S,D,PaP,0.22,0.25,0.21,0.23,0.33,0.35,0.22,0.43,0.31,0.32
R. porosus,S,D,AL,0.2,0.24,0.27,0.33,0.3,0.31,0.32,0.24,0.15,0.19
R. porosus,I,D,L,0.15,0.25,0.22,0.25,0.31,0.33,0.3,0.28,0.22,0.2
R. porosus,I,D,PaP,0.31,0.34,0.35,0.48,0.39,0.25,0.26,0.16,0.29,0.225
R. porosus,I,D,AL,0.17,0.15,0.16,0.17,0.33,0.2,0.27,0.27,0.21,0.21
G. cuvier,S,D,L,2.6,2.88,3.04,3.03,3.1,3.08,2.72,2.39,1.82,1.78
G. cuvier,S,D,PaP,2.71,2.53,2.96,2.98,2.84,3.22,2.45,2.19,1.6,2.71
G. cuvier,S,D,AL,1.93,2.14,2.13,2.02,1.93,1.69,1.52,1.06,0.79,0.55
G. cuvier,I,D,L,2.25,2.59,2.98,3.01,3.08,2.98,2.78,2.58,2.03,1.55
G. cuvier,I,D,PaP,2.81,3.15,2.92,3.21,2.79,3.36,2.83,2.51,1.82,1.01
G. cuvier,I,D,AL,1.54,1.95,1.89,2.01,1.95,1.67,1.5,1.3,0.75,0.69
G. cuvier,S,D,L,1.19,1.56,1.52,1.62,1.7,1.6,1.7,1.56,1.19,0.97
G. cuvier,S,D,PaP,1.83,1.87,2.04,2.36,2.42,2.14,1.88,1.69,1.27,0.78
G. cuvier,S,D,AL,1.14,1.23,1.15,1.31,1.08,0.99,0.89,0.72,0.51,0.37
G. cuvier,I,D,L,1.3,1.45,1.54,1.66,1.82,1.91,1.8,1.56,1.34,1.08
G. cuvier,I,D,PaP,1.74,1.89,2.15,2.19,2.11,2.01,1.87,1.64,1.22,2.04
G. cuvier,I,D,AL,0.94,1.14,1.15,1.23,1.13,1.05,0.92,0.79,0.58,0.4
S. lewini,S,D,L,0.62,0.66,0.72,0.8,0.93,1.06,1.01,0.96,0.96,0.89
S. lewini,S,D,PaP,0.72,0.73,0.72,0.87,0.98,0.82,0.62,0.83,1.06,0.82
S. lewini,S,D,AL,0.61,0.76,0.75,0.74,0.74,0.82,0.84,0.73,0.69,0.61
S. lewini,I,D,L,0.9,0.89,0.93,1.01,0.96,0.96,0.9375,0.945,0.91,0.99
S. lewini,I,D,PaP,0.98,0.94,1.2,1.3,0.895,0.895,0.96,0.85,0.85,0.74
S. lewini,I,D,AL,0.88,0.9,0.89,0.85,0.8,0.82,0.865,0.73,0.73,0.62
C.leucas,S,D,L,1.17,1.37,1.49,1.61,1.9,1.7,1.59,1.65,1.14,1.34
C.leucas,S,D,PaP,1.3,1.83,1.48,2.17,1.44,1.56,1.51,1.56,1.36,1.25
C.leucas,S,D,AL,1.15,1.3,1.26,1.39,1.38,1.26,1.27,1.16,1.11,0.95
C.leucas,I,D,L,0.62,0.6,0.64,0.61,0.62,0.61,0.58,0.61,0.55,0.5
C.leucas,I,D,PaP,1.78,1.73,1.56,1.57,1.5,1.52,1.54,1.32,1.47,1.29
C.leucas,I,D,AL,1.05,1.22,1.2,1.2,1.15,1.25,1.17,1.02,0.94,0.75
G. cuvier,S,D,L,1.37,1.47,1.43,1.49,1.57,1.53,1.36,1.12,0.95,0.72
G. cuvier,S,D,PaP,1.94,1.37,1.55,1.67,1.9,1.63,1.41,1.22,0.91,0.67
G. cuvier,S,D,AL,0.86,0.99,1.06,0.98,0.99,0.9,0.71,0.54,0.33,0.34
G. cuvier,I,D,L,1.04,1.25,1.38,1.44,1.52,1.47,1.44,1.32,1.03,0.76
G. cuvier,I,D,PaP,1.455,1.455,1.53,1.87,1.65,1.67,1.38,1.26,0.85,0.68
G. cuvier,I,D,AL,0.69,0.69,0.89,0.85,0.8,0.69,0.69,0.64,0.43,0.27
S. mokarran,S,D,L,0.83,1.13,1.24,1.32,1.26,1.36,1.38,1.37,1.33,1.36
S. mokarran,S,D,PaP,1.04,1.16,1.22,1.19,1.33,1.3,1.29,1.44,1.26,1.22
S. mokarran,S,D,AL,1.11,0.85,0.83,1.04,1.15,1.08,1.15,1.15,1.11,1.15
S. mokarran,I,D,L,1.22,1.19,1.3,1.39,1.33,1.37,1.22,1.18,1.26,1.17
S. mokarran,I,D,PaP,1.42,1.45,1.45,1.55,1.16,1.31,1.42,1.13,1.48,1.28
S. mokarran,I,D,AL,1.09,1.21,1.22,1.16,1.11,1.09,0.95,0.92,0.98,0.95
G. cuvier,S,D,L,2.23,2.35,2.62,2.61,2.62,2.41,2.4,2.14,1.85,1.5
G. cuvier,S,D,PaP,2.12,1.93,2.18,2.25,3,2.83,2.29,1.85,1.62,1.13
G. cuvier,S,D,AL,1.79,1.96,2.35,2.19,1.91,1.81,1.45,1.01,0.78,0.6
G. cuvier,I,D,L,1.93,2.37,2.47,2.45,2.63,2.5,2.41,2.21,1.95,1.36
G. cuvier,I,D,PaP,2.37,2.12,2.34,2.55,2.37,2.52,1.95,2.27,1.94,1.16
G. cuvier,I,D,AL,1.64,1.77,1.84,1.68,1.79,1.63,1.36,1.19,0.89,0.63
C.leucas,S,D,L,1.14,1.45,1.19,1.53,1.75,1.62,1.6,1.6,1.44,1.52
C.leucas,S,D,PaP,1.31,1.45,1.45,1.45,1.61,1.45,1.45,1.49,1.29,1.39
C.leucas,S,D,AL,1.15,1.45,1.31,1.42,1.31,1.35,1.31,1.28,1.13,0.95
C.leucas,I,D,L,0.94,1.06,1.16,1.33,1.36,1.39,1.27,1.25,1.23,1.19
C.leucas,I,D,PaP,1.33,1.29,1.29,1.33,1.36,1.29,1.34,1.24,1.28,1.24
C.leucas,I,D,AL,1.07,1.08,1.47,1.33,1.27,1.11,1.09,1.02,0.84,0.71
C.leucas,S,D,L,1.21,1.67,2.01,1.85,2.15,1.84,2.15,1.95,1.83,1.79
C.leucas,S,D,PaP,1.69,1.65,2.22,1.98,1.64,1.96,1.81,1.66,1.79,1.43
C.leucas,S,D,AL,1.39,1.6,1.81,1.81,1.75,1.78,1.56,1.54,1.49,1.25
C.leucas,I,D,L,1.39,1.53,1.55,1.63,1.66,1.64,1.64,1.71,1.76,1.67
C.leucas,I,D,PaP,1.48,1.48,1.48,1.48,1.87,1.42,1.64,1.48,1.46,1.46
C.leucas,I,D,AL,1.4625,1.52,1.4625,1.55,1.48,1.47,1.44,1.41,1.455,1.01
G. cuvier,S,D,L,0.81,0.8,0.91,0.81,0.8,0.78,0.85,0.72,0.56,0.56
G. cuvier,S,D,PaP,0.73,0.86,0.91,0.73,0.73,1.05,0.72,0.7,0.59,0.73
G. cuvier,S,D,AL,0.61,0.64,0.7,0.59,0.52,0.52,0.44,0.33,0.29,0.27
G. cuvier,I,D,L,0.76,0.77,0.84,0.91,0.81,0.89,0.91,0.76,0.76,0.45
G. cuvier,I,D,PaP,0.96,0.85,1.01,0.95,0.92,0.89,0.77,0.905,0.905,0.48
G. cuvier,I,D,AL,0.48,0.54,0.51,0.59,0.51,0.47,0.46,0.34,0.495,0.25
S. lewini,S,D,L,0.71,0.89,0.92,1.17,1.19,1.18,1.14,1.18,1.19,1.16
S. lewini,S,D,PaP,0.87875,0.87875,0.67,0.77,0.86,0.89,0.96,0.875,0.8825,0.89
S. lewini,S,D,AL,0.72,0.72,0.73,0.77,0.71,0.72,0.72,0.75,0.69,0.63
S. lewini,I,D,L,0.91,0.98,1.05,1.03,1.06,0.98,0.91,0.96,0.98,1.01
S. lewini,I,D,PaP,0.88,1.03,1.01,0.91,0.87,0.88,0.81,0.88,0.79,0.79
S. lewini,I,D,AL,0.87,0.92,0.96,0.93,0.85,0.92,0.76,0.75,0.87,0.67
G. cuvier,S,D,L,0.745,1.02,0.91,0.745,0.83,1.02,0.65,0.64,0.66,0.62
G. cuvier,S,D,PaP,0.66,1.02,0.66,0.66,0.95,0.66,0.66,0.66,0.66,0.66
G. cuvier,S,D,AL,0.38,0.55,0.68,0.38,0.59,0.54,0.22,0.22,0.22,0.21
G. cuvier,I,D,L,0.77,0.95,0.96,0.95,1.07,0.96,0.95,0.81,0.64,0.45
G. cuvier,I,D,PaP,0.91,0.99,0.85,0.785,0.86,0.94,0.84,0.73,0.63,0.41
G. cuvier,I,D,AL,0.48,0.56,0.58,0.4,0.55,0.46,0.42,0.38,0.25,0.23
G. cuvier,S,D,L,0.515,0.515,0.515,0.515,0.69,0.59,0.53,0.47,0.41,0.5
G. cuvier,S,D,PaP,0.62,0.62,0.62,0.62,0.68,0.56,0.62,0.62,0.62,0.62
G. cuvier,S,D,AL,0.3,0.3,0.3,0.3,0.36,0.31,0.29,0.31,0.17,0.29
G. cuvier,I,D,L,0.51,0.58,0.59,0.62,0.61,0.61,0.61,0.61,0.61,0.61
G. cuvier,I,D,PaP,0.57,0.73,0.76,0.72,0.71,0.57,0.64,0.64,0.64,0.64
G. cuvier,I,D,AL,0.33,0.34,0.35,0.42,0.37,0.31,0.34,0.34,0.34,0.34
G. cuvier,S,D,L,0.88,1.01,1.08,0.95,1.16,1.09,0.89,0.78,0.59,0.95
G. cuvier,S,D,PaP,0.89,0.85,0.955,1.02,1.06,1.02,0.67,0.77,0.895,0.895
G. cuvier,S,D,AL,0.62,0.79,0.78,0.55,0.66,0.62,0.48,0.44,0.33,0.62
G. cuvier,I,D,L,0.74,0.95,0.94,1.03,0.79,1.01,0.64,0.79,0.64,0.45
G. cuvier,I,D,PaP,0.985,0.91,1.06,0.67,0.67,0.59,0.59,0.75,0.59,0.42
G. cuvier,I,D,AL,0.59,0.61,0.57,0.61,0.37,0.5,0.31,0.37,0.31,0.21
C. acronotus,I,D,L,0.4,0.6,0.6,0.7,0.7,0.8,0.7,0.6,0.6,0.6
C. acronotus,I,D,AL,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.4
C. acronotus,I,D,PaP,0.4,0.5,0.6,0.6,0.55,0.575,0.6,0.7,0.5,0.6
S. mokarran,I,D,PaP,1.5,1.4,2.1,1.4,2,1.45,1.2,1.3,1.5,1.3
S. mokarran,I,D,AL,0.7,1,0.9,1.2,1.1,1.1,0.8,1,1,0.9
S. mokarran,I,D,L,0.8,1.1,1.3,1.35,1.35,1.2,1.1,1.1,1.15,1
C. acronotus,I,D,PaP,0.1,0.4,0.3,0.4,0.35,0.4,0.375,0.3875,0.38125,0.384375
C. acronotus,I,D,AL,0.1,0.15,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
C. acronotus,I,D,L,0.3,0.4,0.4,0.4,0.4,0.35,0.3,0.325,0.3125,0.31875
C. acronotus,I,D,PaP,0.3,0.35,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
C. acronotus,I,D,AL,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
C. acronotus,I,D,L,0.3,0.3,0.2,0.35,0.3,0.35,0.325,0.3375,0.33125,0.334375
R. porosus,I,D,PaP,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.35,0.3,0.3
R. porosus,I,D,AL,0.25,0.3,0.3,0.3,0.3,0.25,0.25,0.2,0.2,0.1
